shortName,countryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IND,India,566.01,573.39,579.89,586.6,594.6,599.02,606.54,611.91,619.17,622.77,617.43,622.57,606.58,618.26,627.86,647.23,661.96,679.15,686.83,680.87,690.91,701.28,695.08,697.62,699.2,703.96,704.92,712.76,722.09,731.75,751.42,752.08
CHN,China,590.66,601,605.57,592.86,612.91,672.06,714.89,646.67,669.35,689.28,677.31,666.27,671.76,661.23,679.74,687.51,689.62,681.07,693.49,694.89,695.63,689.9,691.41,691.1,692.06,699.38,698.71,684.72,674.22,627.5,632.55,634.4
BRA,Brazil,339.62,350.69,356.74,358.48,366.49,372.53,354.3,362.41,373.11,375.19,379.66,397.56,421.66,439.87,463.14,467.78,459.05,469.26,460.25,459.67,490.52,488.27,489.05,485.38,494.78,496.59,498.28,502.98,492.99,504.86,518.66,533.46
EUU,European Union (27),521,495.73,471.28,456.37,450.89,443.68,446.95,445.5,441.02,438.13,433.32,426.74,423,418.75,417.9,410.5,406.77,412.14,407.65,400.59,401.32,394.5,394.34,397.3,401.81,405.2,404.47,404.97,395.43,394.12,391.31,385.31
USA,United States,356.33,352.62,360.06,361.19,371.11,369.32,373.71,372.32,370.85,368.39,362.52,360.37,359.87,366.5,365.12,364.76,371.05,371.24,366.69,368.31,370.83,369.82,365.64,363.92,363.4,364.19,374.66,373.33,379.5,377.26,379.68,377.02
IDN,Indonesia,112.73,112.08,119.41,116.9,117.93,123.94,127.04,122.4,125.27,123.47,122.8,121.48,124.71,123.51,127.86,127.49,129.49,130.48,133.19,137.74,138.12,140.74,144.13,137.83,143.08,144.09,140.75,149.79,155.08,151.06,153.93,154.16
RUS,Russia,240.99,225.89,213.06,201.43,181.51,163.21,150.32,134.69,124.43,114,114,115.3,114.52,116.74,104.66,100.72,98.11,98.8,105.46,100.88,98.87,99.59,98.87,98.02,101.95,98.63,100.21,99.47,99.9,101.83,104.35,103.11
IRN,Iran,35.01,35.06,38.42,36.98,37.7,38.36,39.43,40.43,41.8,40.74,39.95,39.9,40.32,41.1,42.47,43.26,45.14,43.89,40.42,40.67,40.49,36.79,37.78,37.31,31.36,32.12,33.47,31.2,32.63,34.54,36.15,35.35
JPN,Japan,29.33,29.02,29.51,29.74,30.07,28.91,27.8,27.4,26.31,26.14,25.96,25.43,25.27,25.14,25.14,24.91,24.7,24.81,23.83,23.69,24.02,22.99,22.93,23.09,22.99,22.45,22.37,22.35,21.82,21.74,21.82,21.61
KOR,South Korea,15.1,14.97,15.3,15.65,15.75,15.95,16.24,16.45,15.53,14.78,14.19,13.81,13.53,13.44,13.82,14.14,13.71,14.22,14.08,14.15,14.42,14.02,14.47,14.12,13.77,13.95,13.97,13.98,14.12,14.25,14.59,14.86
