shortName,countryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,94.35,112.6,135.16,157.02,180.08,204.11,219.9,237.4,253.39,277.78,301.37,344.63,373.39,461.25,492.82,552.88,632.32,698.16,730,808.64,885.58,975.36,1002.33,1058.98,1104.13,1075.58,1106.88,1128.59,1150.09,1213.39,1252.49,1273.86
USA,United States,164.71,154.31,157.31,160.57,165.51,187.54,197.28,198.51,209.71,206.14,208.7,192.09,202.07,191.49,199.03,204.42,208.39,221.72,208.91,190.55,204.59,217,210.15,209.35,219.36,221.22,222.02,227.96,231.67,238.67,243.52,250.3
IND,India,26.45,29,30.06,31.9,34.29,37.39,41.42,45.8,48.46,55.06,57.48,58.29,60.7,62.51,67.2,71.39,77.08,80.97,86.35,94.85,100.08,106.23,115.99,124.45,133.32,135.89,143.31,142.62,162.24,168.55,149.37,178.61
EUU,European Union (27),216.9,203.59,210.52,208.1,220.55,228.43,234.05,235.44,219.15,209.91,213.12,208.85,208.25,212.32,220.25,223.15,224.22,234.5,220.7,193.84,185.92,184.19,180.58,177.33,182.79,177.42,177.5,172.86,167.38,160.55,150.61,147.23
KOR,South Korea,17.16,21.26,26.21,30.56,33.72,36.24,39.19,43.83,39.75,43.54,47.51,50.02,52.81,58.66,61.2,58.14,60.02,57.23,58.9,59.26,61.89,63.42,64.89,66.41,68.18,69.72,73.55,76.17,77.46,80.63,81.51,87.16
JPN,Japan,73.3,76.99,79.54,79.83,84.71,90.66,93.17,91.26,84.17,75.25,75.16,65.28,59.63,58.83,54.94,54.71,56.95,56.19,55.27,52.02,53.32,56.1,59.8,63.76,67.62,70.38,73.75,71.59,68.72,65.25,61.79,61.76
RUS,Russia,57.34,56.62,75.03,59.25,49.89,49.71,42.45,44.5,47.26,49.3,55.84,54.55,48.67,44.74,50.96,53.69,53.37,54.91,51.31,41.4,45.72,46.03,53.84,59.2,61.08,56.35,55.36,55,54.14,53.91,53.74,56.87
IRN,Iran,9.58,9.97,10.13,10.75,11.29,11.76,12.07,12.9,13.55,14.65,15.85,17.57,18.05,18.71,19.91,20.36,21.94,24.54,27.21,30.61,36.6,40.25,42.99,45.72,44.8,41.89,42.33,42.68,44.09,50.17,54.74,54.09
BRA,Brazil,18.24,20.29,18.56,20.13,19.93,21.59,22.23,22.89,25.31,26.59,25.25,23.41,24.34,23,25.68,26.22,28.66,24.71,26.93,26.88,29.79,31.4,33.62,35.33,35.65,33.88,31.64,29.86,30.55,31.53,34.28,36.55
IDN,Indonesia,8.54,9.88,10.54,11.51,13.26,14,14.98,16.73,13.81,14.82,19.82,22,21.86,21.7,23.12,22.77,23.52,24.26,25.45,24.58,24.82,26.53,28.79,30.33,31.12,30.21,34.58,35.06,37.14,36.69,33.04,34.34
