shortName,countryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,194.71,199.46,204.21,208.96,213.71,205.55,197.38,189.2,181.03,172.86,164.69,156.22,147.74,139.27,130.79,122.32,128.34,134.37,140.39,146.41,152.44,158.46,164.48,169.55,174.62,179.68,185.65,191.61,197.57,203.54,209.5,216.23
IDN,Indonesia,158.2,161.52,164.85,168.18,171.52,174.66,178.29,181.92,185.55,189.17,192.8,186.35,179.9,173.44,166.99,160.53,154.08,147.63,141.17,134.72,128.27,121.81,115.36,120.06,124.76,127.28,129.47,131.65,133.84,136.02,138.21,140.31
USA,United States,199.34,201.9,202.08,200.22,200.52,195.75,192.39,183.26,173.82,167.63,164.69,159.81,157.99,160.86,158.53,156.44,154.35,152.34,150.22,147.45,148.27,139.23,140.31,136.43,136.1,135.2,131.03,132.13,133.24,134.35,135.45,136.76
RUS,Russia,81.12,81.55,81.04,81.32,81.08,81.51,81.56,82.11,82.1,82.85,83.23,84.21,85.02,86.1,87.32,89.11,90.73,92.53,94.35,96.08,98.16,100.95,103.62,106.44,110.49,113.19,115.75,116.48,117.21,117.95,118.68,119.25
EUU,European Union (27),165.17,168.48,170.43,171.16,170.48,170.59,169.55,167.37,165.29,162.79,161.74,159.55,156.96,154.51,150.33,145.46,142.32,138.76,134.84,132.98,130.13,126.96,124.11,120.45,116.92,115.09,111.45,110.07,108.7,107.33,105.96,105.16
IND,India,24.54,25.19,25.85,26.5,27.16,32.9,38.65,44.39,50.14,55.88,61.62,62.89,64.17,65.44,66.71,67.98,69.25,70.53,71.8,73.07,74.34,75.45,76.56,77.67,78.78,79.89,80.98,82.07,83.17,84.26,85.35,86.4
BRA,Brazil,30.63,31.82,33.11,34.23,35.44,36.91,38.23,39.78,41.27,43.75,45.55,46.71,48.99,51.96,52.39,53.52,56.47,58.08,59.01,60.51,63.72,64.62,65.52,66.42,67.32,68.22,68.89,69.55,70.22,70.89,71.56,72.24
IRN,Iran,8.38,8.67,8.96,9.26,9.55,13.74,17.93,22.12,26.3,30.49,34.68,35.34,36,36.66,37.32,37.98,38.65,39.33,40.01,40.69,41.36,42.05,42.74,43.43,44.12,44.81,45.42,46.04,46.65,47.26,47.87,48.39
KOR,South Korea,10.59,11.4,12.11,12.43,13.14,13.43,13.78,14.05,12.98,12.97,13.05,13.6,13.7,13.76,12.47,12.49,12.17,11.39,11.22,11.36,11.05,10.87,10.4,10.32,10.46,10.21,10.01,9.82,9.62,9.43,9.23,9.09
JPN,Japan,14.63,14.49,14.48,14.29,14.1,13.85,13.57,13.28,12.89,12.48,12.11,11.63,11.31,11.04,10.71,10.35,9.99,9.62,9.3,8.86,8.49,8.26,7.95,7.74,7.46,7.22,7.04,6.92,6.8,6.69,6.57,6.47
